"V1" "V2" "V3" "V4"
42.994 45.1 42.585 41.257
44.473 46.376 42.575 42.375
45.993 47.697 42.565 43.536
47.548 49.059 42.556 44.737
49.13 50.458 42.547 45.975
50.731 51.887 42.539 47.245
52.339 53.339 42.532 48.542
53.946 54.805 42.527 49.857
55.538 56.276 42.523 51.182
57.102 57.741 42.522 52.509
58.626 59.189 42.522 53.825
60.094 60.605 42.525 55.12
61.492 61.977 42.53 56.381
62.804 63.29 42.537 57.593
64.015 64.528 42.547 58.743
65.109 65.676 42.56 59.816
66.071 66.719 42.575 60.797
66.886 67.64 42.592 61.67
67.541 68.424 42.61 62.422
68.023 69.057 42.631 63.037
68.322 69.525 42.653 63.504
68.427 69.816 42.675 63.809
68.331 69.919 42.698 63.943
68.029 69.826 42.72 63.895
67.518 69.529 42.741 63.661
66.798 69.025 42.761 63.234
65.871 68.312 42.779 62.614
64.743 67.391 42.793 61.801
63.421 66.267 42.804 60.798
61.917 64.947 42.812 59.612
60.245 63.441 42.814 58.252
58.42 61.763 42.811 56.731
56.464 59.93 42.804 55.063
54.396 57.96 42.79 53.267
52.24 55.875 42.771 51.361
50.023 53.701 42.745 49.369
47.769 51.462 42.715 47.314
45.508 49.186 42.678 45.222
43.267 46.903 42.637 43.12
41.074 44.642 42.592 41.035
38.958 42.432 42.544 38.994
36.945 40.302 42.493 37.024
35.06 38.282 42.441 35.151
33.329 36.397 42.388 33.401
31.771 34.673 42.337 31.795
30.407 33.133 42.289 30.356
29.252 31.795 42.245 29.101
28.318 30.677 42.207 28.045
27.615 29.792 42.175 27.2
27.148 29.148 42.153 26.576
26.918 28.751 42.14 26.176
26.924 28.602 42.139 26.002
27.158 28.697 42.15 26.05
27.611 29.028 42.174 26.315
28.269 29.586 42.211 26.787
29.115 30.353 42.263 27.45
30.129 31.313 42.327 28.29
31.29 32.443 42.405 29.286
32.571 33.718 42.496 30.417
33.948 35.112 42.597 31.657
35.39 36.596 42.708 32.982
36.871 38.14 42.826 34.364
38.361 39.713 42.949 35.775
39.831 41.284 43.075 37.188
41.253 42.823 43.199 38.574
42.601 44.301 43.32 39.909
43.849 45.688 43.433 41.165
44.975 46.959 43.534 42.32
45.959 48.091 43.62 43.352
46.782 49.062 43.688 44.242
47.432 49.855 43.733 44.974
47.896 50.456 43.752 45.535
48.169 50.854 43.742 45.916
48.246 51.043 43.7 46.111
48.128 51.021 43.624 46.117
47.818 50.789 43.512 45.936
47.324 50.354 43.363 45.572
46.657 49.724 43.176 45.034
45.831 48.913 42.953 44.332
44.862 47.938 42.694 43.482
43.77 46.818 42.4 42.5
42.576 45.575 42.076 41.406
41.303 44.235 41.725 40.222
39.974 42.822 41.351 38.969
38.616 41.365 40.959 37.673
37.253 39.891 40.555 36.357
35.909 38.43 40.146 35.047
34.609 37.008 39.739 33.767
33.375 35.652 39.341 32.54
32.228 34.389 38.959 31.389
31.188 33.24 38.601 30.335
30.271 32.228 38.274 29.396
29.491 31.371 37.985 28.587
28.858 30.684 37.741 27.924
28.382 30.179 37.548 27.416
28.065 29.864 37.409 27.071
27.91 29.744 37.331 26.892
27.914 29.82 37.314 26.882
28.073 30.088 37.362 27.038
28.378 30.543 37.475 27.354
28.819 31.173 37.651 27.822
29.381 31.966 37.889 28.431
30.049 32.905 38.184 29.168
30.806 33.972 38.533 30.016
31.633 35.144 38.927 30.957
32.508 36.399 39.361 31.973
33.412 37.712 39.825 33.042
34.324 39.058 40.311 34.144
35.223 40.411 40.809 35.257
36.089 41.745 41.307 36.359
36.903 43.036 41.796 37.431
37.649 44.259 42.265 38.453
38.31 45.392 42.704 39.405
38.874 46.415 43.103 40.273
39.33 47.31 43.453 41.042
39.67 48.063 43.746 41.7
39.888 48.661 43.975 42.236
39.982 49.095 44.135 42.646
39.952 49.36 44.222 42.924
39.803 49.454 44.233 43.071
39.54 49.379 44.168 43.087
39.172 49.14 44.029 42.979
38.71 48.746 43.817 42.753
38.168 48.208 43.538 42.42
37.562 47.541 43.197 41.992
36.907 46.762 42.803 41.483
36.223 45.891 42.364 40.909
35.527 44.948 41.892 40.289
34.84 43.956 41.396 39.639
34.181 42.938 40.89 38.979
33.569 41.919 40.385 38.327
33.021 40.922 39.893 37.703
32.554 39.97 39.428 37.125
32.185 39.085 39.001 36.609
31.926 38.289 38.624 36.17
31.789 37.599 38.307 35.824
31.783 37.034 38.06 35.581
31.915 36.606 37.89 35.451
32.189 36.327 37.805 35.442
32.606 36.206 37.81 35.559
33.165 36.248 37.907 35.803
33.863 36.455 38.099 36.176
34.693 36.827 38.385 36.673
35.647 37.36 38.764 37.291
36.714 38.047 39.231 38.021
37.881 38.879 39.782 38.855
39.135 39.844 40.411 39.781
40.459 40.929 41.108 40.787
41.837 42.117 41.866 41.859
43.252 43.391 42.674 42.981
44.686 44.733 43.52 44.138
46.12 46.123 44.394 45.314
47.536 47.542 45.283 46.492
48.918 48.969 46.175 47.656
50.247 50.384 47.059 48.79
51.508 51.767 47.921 49.878
52.686 53.1 48.75 50.907
53.766 54.364 49.534 51.861
54.735 55.543 50.264 52.729
55.584 56.622 50.928 53.5
56.301 57.585 51.518 54.163
56.88 58.422 52.025 54.71
57.313 59.122 52.443 55.135
57.596 59.676 52.765 55.431
57.727 60.078 52.987 55.595
57.704 60.323 53.104 55.624
57.527 60.408 53.116 55.519
57.2 60.334 53.021 55.28
56.727 60.101 52.819 54.909
56.112 59.714 52.512 54.411
55.363 59.178 52.104 53.792
54.49 58.501 51.599 53.057
53.502 57.69 51.002 52.215
52.411 56.758 50.321 51.276
51.229 55.717 49.563 50.251
49.972 54.58 48.739 49.15
48.652 53.362 47.857 47.987
47.287 52.08 46.93 46.775
45.892 50.75 45.969 45.527
44.484 49.39 44.986 44.259
43.081 48.018 43.994 42.985
41.698 46.651 43.006 41.72
40.354 45.309 42.035 40.48
39.065 44.008 41.095 39.279
37.846 42.767 40.197 38.131
36.714 41.6 39.355 37.051
35.681 40.525 38.579 36.051
34.761 39.555 37.881 35.143
33.966 38.703 37.269 34.339
33.304 37.979 36.752 33.647
32.784 37.394 36.337 33.077
32.412 36.953 36.03 32.635
32.192 36.663 35.835 32.325
32.124 36.526 35.752 32.15
32.21 36.542 35.784 32.112
32.445 36.71 35.929 32.209
32.824 37.026 36.183 32.439
33.341 37.483 36.542 32.798
33.985 38.072 36.999 33.277
34.746 38.784 37.547 33.869
35.609 39.605 38.175 34.564
36.559 40.521 38.874 35.35
37.58 41.517 39.63 36.214
38.655 42.575 40.431 37.141
39.763 43.678 41.263 38.116
40.887 44.806 42.112 39.124
42.006 45.941 42.964 40.147
43.101 47.063 43.804 41.169
44.153 48.153 44.618 42.173
45.142 49.193 45.391 43.142
46.051 50.164 46.111 44.061
46.864 51.052 46.765 44.914
47.567 51.839 47.343 45.688
48.145 52.514 47.834 46.37
48.589 53.064 48.231 46.949
48.891 53.48 48.526 47.416
49.044 53.756 48.715 47.764
49.045 53.887 48.796 47.986
48.894 53.871 48.767 48.081
48.593 53.709 48.63 48.048
48.148 53.404 48.388 47.888
47.566 52.964 48.045 47.606
46.857 52.396 47.61 47.207
46.037 51.712 47.091 46.701
45.118 50.925 46.499 46.097
44.12 50.052 45.845 45.409
43.061 49.11 45.144 44.65
41.963 48.117 44.409 43.836
40.847 47.094 43.656 42.985
39.736 46.063 42.901 42.113
38.653 45.045 42.16 41.24
37.621 44.062 41.448 40.384
36.663 43.135 40.783 39.563
35.8 42.286 40.179 38.797
35.053 41.535 39.649 38.103
34.44 40.899 39.209 37.497
33.978 40.396 38.868 36.995
33.681 40.039 38.638 36.609
33.561 39.842 38.526 36.352
33.625 39.814 38.539 36.233
33.879 39.96 38.68 36.259
34.326 40.285 38.951 36.435
34.962 40.788 39.352 36.762
35.783 41.468 39.88 37.239
36.781 42.316 40.529 37.863
37.942 43.325 41.291 38.628
39.253 44.481 42.157 39.525
40.695 45.77 43.114 40.541
42.245 47.173 44.149 41.664
43.882 48.669 45.247 42.878
45.58 50.237 46.39 44.165
47.31 51.852 47.562 45.505
49.046 53.489 48.742 46.877
50.758 55.121 49.912 48.262
52.417 56.721 51.052 49.635
53.994 58.263 52.144 50.975
55.462 59.721 53.168 52.26
56.794 61.069 54.107 53.469
57.965 62.283 54.944 54.581
58.954 63.342 55.665 55.576
59.741 64.226 56.254 56.438
60.309 64.917 56.703 57.151
60.648 65.402 57 57.702
60.746 65.67 57.14 58.08
60.601 65.713 57.119 58.277
60.211 65.528 56.936 58.29
59.579 65.115 56.591 58.115
58.713 64.478 56.089 57.755
57.626 63.625 55.438 57.214
56.333 62.568 54.647 56.5
54.854 61.322 53.728 55.624
53.211 59.905 52.695 54.598
51.431 58.339 51.565 53.441
49.541 56.649 50.356 52.169
47.574 54.861 49.089 50.804
45.561 53.004 47.784 49.369
43.535 51.107 46.462 47.888
41.53 49.203 45.147 46.385
39.58 47.321 43.861 44.887
37.718 45.494 42.624 43.418
35.976 43.751 41.459 42.004
34.383 42.121 40.385 40.67
32.966 40.631 39.421 39.438
31.75 39.307 38.584 38.331
30.756 38.17 37.886 37.367
30.001 37.238 37.342 36.563
29.499 36.528 36.959 35.935
29.258 36.05 36.746 35.494
29.283 35.813 36.704 35.246
29.575 35.82 36.836 35.199
30.128 36.069 37.139 35.351
30.934 36.557 37.607 35.703
31.979 37.274 38.234 36.248
33.247 38.208 39.007 36.977
34.716 39.342 39.915 37.879
36.363 40.657 40.941 38.938
38.161 42.131 42.07 40.138
40.081 43.74 43.282 41.458
42.092 45.456 44.558 42.878
44.162 47.253 45.877 44.374
46.259 49.1 47.219 45.923
48.349 50.971 48.561 47.5
50.402 52.835 49.884 49.079
52.386 54.665 51.167 50.638
54.272 56.434 52.392 52.151
56.033 58.118 53.541 53.598
57.646 59.693 54.599 54.957
59.089 61.14 55.552 56.21
60.344 62.441 56.387 57.34
61.399 63.582 57.096 58.333
62.241 64.552 57.673 59.178
62.866 65.343 58.111 59.867
63.271 65.951 58.411 60.394
63.457 66.375 58.572 60.758
63.43 66.618 58.598 60.958
63.199 66.684 58.494 60.999
62.777 66.583 58.268 60.887
62.179 66.326 57.929 60.631
61.422 65.926 57.489 60.242
60.529 65.398 56.961 59.733
59.52 64.761 56.357 59.12
58.419 64.032 55.694 58.419
57.251 63.231 54.987 57.647
56.042 62.378 54.251 56.823
54.815 61.492 53.502 55.965
53.596 60.594 52.756 55.092
52.407 59.702 52.026 54.222
51.272 58.834 51.328 53.372
50.209 58.008 50.673 52.558
49.239 57.237 50.074 51.795
48.376 56.536 49.541 51.097
47.634 55.917 49.081 50.475
47.024 55.387 48.702 49.939
46.553 54.955 48.408 49.497
46.226 54.624 48.203 49.154
46.045 54.398 48.089 48.913
46.009 54.277 48.063 48.776
46.114 54.259 48.125 48.741
46.353 54.339 48.27 48.805
46.719 54.513 48.492 48.963
47.199 54.772 48.786 49.209
47.781 55.107 49.143 49.534
48.451 55.508 49.554 49.928
49.191 55.963 50.009 50.381
49.986 56.461 50.498 50.882
50.818 56.988 51.01 51.416
51.67 57.531 51.535 51.973
52.523 58.078 52.06 52.538
53.36 58.615 52.576 53.101
54.165 59.13 53.072 53.647
54.922 59.612 53.539 54.165
55.617 60.049 53.967 54.646
56.238 60.433 54.349 55.078
56.773 60.755 54.677 55.454
57.214 61.007 54.947 55.766
57.553 61.185 55.153 56.008
57.786 61.285 55.293 56.176
57.911 61.305 55.364 56.268
57.927 61.244 55.366 56.283
57.836 61.103 55.301 56.22
57.642 60.886 55.17 56.084
57.351 60.597 54.977 55.876
56.972 60.241 54.726 55.603
56.512 59.827 54.423 55.27
55.984 59.361 54.075 54.885
55.399 58.854 53.689 54.456
54.77 58.315 53.272 53.991
54.112 57.754 52.834 53.502
53.437 57.183 52.382 52.996
52.759 56.612 51.925 52.484
52.094 56.053 51.472 51.975
51.452 55.514 51.03 51.479
50.848 55.007 50.608 51.004
50.291 54.54 50.214 50.559
49.793 54.122 49.852 50.15
49.361 53.759 49.53 49.783
49.003 53.457 49.251 49.463
48.724 53.221 49.02 49.195
48.528 53.053 48.839 48.981
48.416 52.957 48.71 48.823
48.389 52.932 48.634 48.72
48.446 52.977 48.611 48.671
48.582 53.09 48.638 48.676
48.793 53.268 48.715 48.731
49.073 53.507 48.837 48.832
49.415 53.8 49.001 48.974
49.81 54.141 49.202 49.153
50.25 54.523 49.436 49.363
50.724 54.938 49.697 49.597
51.222 55.378 49.978 49.849
51.733 55.835 50.274 50.113
52.247 56.299 50.578 50.383
52.753 56.762 50.884 50.651
53.24 57.215 51.185 50.912
53.698 57.65 51.475 51.159
54.118 58.059 51.748 51.388
54.49 58.433 51.998 51.591
54.806 58.765 52.219 51.766
55.058 59.049 52.405 51.906
55.24 59.279 52.553 52.009
55.346 59.448 52.658 52.07
55.371 59.553 52.715 52.086
55.311 59.589 52.721 52.055
55.164 59.552 52.674 51.975
54.927 59.442 52.571 51.844
54.6 59.256 52.41 51.66
54.184 58.993 52.192 51.424
53.679 58.654 51.915 51.135
53.09 58.241 51.58 50.794
52.42 57.756 51.189 50.401
51.673 57.202 50.744 49.958
50.857 56.584 50.249 49.468
49.978 55.906 49.706 48.934
49.045 55.176 49.12 48.358
48.067 54.4 48.498 47.746
47.055 53.587 47.846 47.102
46.02 52.746 47.17 46.431
44.973 51.887 46.478 45.74
43.927 51.019 45.779 45.036
42.895 50.154 45.082 44.325
41.891 49.304 44.395 43.616
40.929 48.48 43.728 42.916
40.02 47.694 43.092 42.234
39.18 46.957 42.495 41.578
38.42 46.282 41.947 40.958
37.753 45.678 41.457 40.382
37.19 45.157 41.035 39.857
36.741 44.728 40.687 39.394
36.415 44.399 40.42 38.998
36.219 44.178 40.242 38.677
36.159 44.071 40.157 38.437
36.239 44.082 40.168 38.284
36.46 44.213 40.279 38.221
36.822 44.466 40.489 38.252
37.322 44.839 40.798 38.377
37.956 45.33 41.204 38.598
38.716 45.933 41.702 38.914
39.593 46.643 42.288 39.322
40.576 47.449 42.953 39.817
41.651 48.343 43.689 40.395
42.804 49.311 44.486 41.049
44.017 50.34 45.334 41.77
45.272 51.415 46.218 42.549
46.549 52.521 47.127 43.375
47.83 53.639 48.045 44.237
49.092 54.753 48.959 45.122
50.316 55.845 49.854 46.017
51.481 56.897 50.716 46.908
52.567 57.891 51.529 47.782
53.556 58.812 52.28 48.625
54.429 59.642 52.956 49.422
55.171 60.368 53.546 50.162
55.769 60.976 54.038 50.831
56.21 61.455 54.423 51.417
56.487 61.796 54.695 51.911
56.592 61.992 54.846 52.304
56.522 62.039 54.875 52.587
56.277 61.933 54.779 52.754
55.86 61.676 54.56 52.803
55.277 61.27 54.219 52.729
54.536 60.723 53.762 52.534
53.649 60.041 53.196 52.219
52.631 59.235 52.531 51.788
51.499 58.319 51.777 51.246
50.272 57.308 50.947 50.601
48.97 56.218 50.055 49.864
47.617 55.068 49.117 49.044
46.236 53.878 48.149 48.154
44.852 52.668 47.167 47.21
43.489 51.46 46.19 46.225
42.172 50.273 45.234 45.215
40.925 49.13 44.317 44.198
39.77 48.05 43.456 43.189
38.729 47.053 42.665 42.206
37.821 46.156 41.96 41.264
37.064 45.377 41.354 40.379
36.472 44.728 40.857 39.567
36.057 44.222 40.48 38.84
35.827 43.868 40.228 38.212
35.788 43.673 40.108 37.693
35.943 43.641 40.122 37.292
36.288 43.773 40.27 37.016
36.82 44.067 40.549 36.87
37.531 44.517 40.955 36.855
38.408 45.117 41.482 36.974
39.438 45.856 42.119 37.222
40.603 46.721 42.856 37.598
41.883 47.697 43.68 38.093
43.257 48.767 44.576 38.7
44.702 49.911 45.527 39.407
46.192 51.111 46.518 40.203
47.702 52.344 47.53 41.074
49.206 53.589 48.546 42.004
50.677 54.824 49.546 42.977
52.091 56.026 50.513 43.975
53.423 57.173 51.43 44.981
54.65 58.247 52.28 45.977
55.75 59.226 53.048 46.944
56.705 60.093 53.719 47.865
57.497 60.832 54.281 48.723
58.112 61.429 54.724 49.502
58.54 61.872 55.038 50.186
58.772 62.152 55.218 50.762
58.804 62.264 55.26 51.219
58.634 62.202 55.161 51.547
58.263 61.966 54.921 51.738
57.696 61.558 54.544 51.786
56.942 60.982 54.033 51.689
56.01 60.246 53.397 51.446
54.915 59.359 52.644 51.057
53.672 58.333 51.784 50.528
52.299 57.182 50.831 49.865
50.816 55.923 49.797 49.075
49.245 54.573 48.698 48.171
47.608 53.151 47.549 47.163
45.928 51.676 46.368 46.067
44.229 50.171 45.171 44.899
42.535 48.657 43.975 43.674
40.87 47.153 42.798 42.411
39.257 45.683 41.656 41.129
37.717 44.265 40.565 39.845
36.271 42.92 39.539 38.58
34.938 41.666 38.594 37.35
33.735 40.521 37.742 36.175
32.678 39.498 36.993 35.072
31.778 38.612 36.358 34.055
31.047 37.874 35.844 33.14
30.491 37.292 35.457 32.339
30.116 36.873 35.201 31.663
29.924 36.622 35.077 31.122
29.913 36.539 35.085 30.722
30.082 36.624 35.223 30.466
30.423 36.872 35.487 30.359
30.927 37.277 35.87 30.398
31.585 37.832 36.364 30.582
32.382 38.525 36.96 30.906
33.302 39.343 37.647 31.363
34.329 40.271 38.411 31.943
35.444 41.293 39.24 32.634
36.626 42.39 40.118 33.424
37.854 43.545 41.031 34.299
39.107 44.736 41.963 35.242
40.362 45.944 42.897 36.236
41.597 47.147 43.817 37.262
42.791 48.326 44.709 38.304
43.922 49.459 45.556 39.342
44.97 50.527 46.345 40.358
45.917 51.512 47.061 41.333
46.745 52.397 47.694 42.25
47.439 53.166 48.231 43.093
47.987 53.805 48.664 43.847
48.378 54.303 48.985 44.498
48.603 54.65 49.188 45.035
48.657 54.841 49.271 45.448
48.539 54.869 49.23 45.729
48.248 54.735 49.067 45.874
47.787 54.439 48.784 45.88
47.164 53.986 48.386 45.747
46.387 53.381 47.879 45.477
45.468 52.636 47.272 45.075
44.422 51.76 46.574 44.55
43.265 50.77 45.798 43.91
42.017 49.681 44.958 43.167
40.698 48.512 44.066 42.337
39.33 47.283 43.14 41.434
37.938 46.015 42.196 40.477
36.545 44.731 41.25 39.484
35.176 43.453 40.319 38.474
33.855 42.205 39.421 37.468
32.607 41.01 38.571 36.486
31.455 39.889 37.787 35.548
30.421 38.865 37.082 34.674
29.526 37.958 36.472 33.883
28.787 37.186 35.968 33.192
28.221 36.566 35.581 32.617
27.841 36.111 35.319 32.173
27.657 35.833 35.191 31.872
