,,,,,,,min,min,min,,max,max ,max,,avg,avg,avg,,,,,,,,,,,,,
0,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,26,28,31,"(3596, 59)",,26,28,31,,45,51,51,,35.5,39.5,41,,,,,,,,,,,,,
4,2,45,51,51,"(2500, 48)",,,,,,,,,,,,,,,,,,,,,,,,,
5,1,14,44,66,"(188, 48)",,14,37,39,,41,56,76,,28.66666667,45.66666667,60.33333333,,,,,,,,,,,,,
5,2,41,56,76,"(45203, 36)",,,,,,,,,,,,,,,,,,,,,,,,,
5,3,31,37,39,"(2630, 51)",,,,,,,,,,,,,,,,,,,,,,,,,
6,1,10,19,33,"(2089, 39)",,10,19,33,,41,51,62,,25.25,35.75,48.5,,,,,,,,,,,,,
6,2,41,51,62,"(4080, 24)",,,,,,,,,,,,,,,,,,,,,,,,,
6,5,21,37,48,"(436, 44)",,,,,,,,,,,,,,,,,,,,,,,,,
6,6,29,36,51,"(12834, 36)",,,,,,,,,,,,,,,,,,,,,,,,,
7,1,32,46,53,"(10236, 20)",,17,24,38,,36,47,61,,27.8,38.8,51.4,,,,,,,,,,,,,
7,2,17,24,38,"(716, 40)",,,,,,,,,,,,,,,,,,,,,,,,,
7,3,36,42,45,"(59191, 27)",,,,,,,,,,,,,,,,,,,,,,,,,
7,6,26,47,61,"(7269, 28)",,,,,,,,,,,,,,,,,,,,,,,,,
7,7,28,35,60,"(10947, 40)",,,,,,,,,,,,,,,,,,,,,,,,,
8,1,28,45,51,"(16626, 23)",,19,32,38,,46,57,71,,29.66666667,41,50.5,,,,,,,,,,,,,
8,2,32,42,49,"(20312, 20)",,,,,,,,,,,,,,,,,,,,,,,,,
8,3,30,32,47,"(4531, 24)",,,,,,,,,,,,,,,,,,,,,,,,,
8,4,23,38,47,"(4144, 28)",,,,,,,,,,,,,,,,,,,,,,,,,
8,7,19,32,38,"(2022, 28)",,,,,,,,,,,,,,,,,,,,,,,,,
8,8,46,57,71,"(1950, 24)",,,,,,,,,,,,,,,,,,,,,,,,,
9,2,31,40,48,"(29613, 16)",,23,36,41,,39,49,59,,33.42857143,40.85714286,48.28571429,,,,,,,,,,,,,
