0,1,2,3,4,5,,,,,,,,,,,,
4,1,38,40,41,"(3596, 59)",,38,40,41,,80,82,83,,59,61,62
4,2,80,82,83,"(2500, 48)",,,,,,,,,,,,
5,1,45,51,54,"(188, 48)",,42,44,45,,62,71,79,,49.66666667,55.33333333,59.33333333
5,2,62,71,79,"(45203, 36)",,,,,,,,,,,,
5,3,42,44,45,"(2630, 51)",,,,,,,,,,,,
6,1,61,74,81,"(2089, 39)",,51,57,59,,61,74,81,,55.75,64,69
6,2,51,60,68,"(4080, 24)",,,,,,,,,,,,
6,5,51,57,59,"(436, 44)",,,,,,,,,,,,
6,6,60,65,68,"(12834, 36)",,,,,,,,,,,,
7,1,62,66,69,"(10236, 20)",,44,46,46,,66,72,76,,55.8,61.2,65
7,2,54,60,64,"(716, 40)",,,,,,,,,,,,
7,3,44,46,46,"(59191, 27)",,,,,,,,,,,,
7,6,53,62,70,"(7269, 28)",,,,,,,,,,,,
7,7,66,72,76,"(10947, 40)",,,,,,,,,,,,
8,1,41,44,44,"(16626, 23)",,41,44,44,,68,72,80,,54.16666667,59,62.5
8,2,68,72,74,"(20312, 20)",,,,,,,,,,,,
8,3,44,45,45,"(4531, 24)",,,,,,,,,,,,
8,4,53,61,70,"(4144, 28)",,,,,,,,,,,,
8,7,55,60,62,"(2022, 28)",,,,,,,,,,,,
8,8,64,72,80,"(1950, 24)",,,,,,,,,,,,
9,2,75,77,78,"(29613, 16)",,33,37,39,,75,77,78,,55.14285714,57.28571429,58.57142857
9,3,66,69,73,"(5928, 12)",,,,,,,,,,,,
9,4,33,37,39,"(4405, 32)",,,,,,,,,,,,
9,5,61,62,62,"(5784, 20)",,,,,,,,,,,,
9,6,47,49,50,"(59191, 27)",,,,,,,,,,,,
9,7,61,62,62,"(10488, 12)",,,,,,,,,,,,
9,8,43,45,46,"(2995, 24)",,,,,,,,,,,,
10,1,49,50,51,"(2474, 24)",,44,47,47,,77,80,81,,58,61.375,64.125
10,2,51,52,53,"(4140, 24)",,,,,,,,,,,,
