,,RMSE,Max %,Min %,Avg %,,,,,RMSE,Max %,,Min %,Avg %
4,1,0.521991609,,,,,,,4,,,,,
4,2,0.269123158,,,,,,,5,,,,,
5,1,0.442930041,,,,,,,6,,,,,
5,2,0.267761889,,,,,,,7,,,,,
5,3,0.487555445,,,,,,,8,,,,,
6,1,0.270637515,,,,,,,9,,89.6579932,,,
6,2,0.341604409,,,,,,,10,,23.78461538,,,
6,5,0.39934616,,,,,,,11,,59.59421769,,,
6,6,0.380716045,,,,,,,12,,102.6091351,,,
7,1,0.361732174,,,,,,,13,,63.87854051,,,
7,2,0.368216498,,,,,,,14,,15.69263804,,,
7,3,0.519149678,,,,,,,15,,15.69263804,,,
7,6,0.31335933,,,,,,,16,,8.796321035,,,
7,7,0.361466536,,,,,,,17,,24.25308482,,,
8,1,0.5006689,,,,,,,18,,5.27546753,,,
8,2,0.356933707,,,,,,,19,,16.14584742,,,
8,3,0.537459092,,,,,,,20,,3.066809873,,,
8,4,0.322526285,,,,,,,,,,,,
8,7,0.44194081,,,,,,,,,,,,
8,8,0.264942556,,,,,,,,,,,,
9,2,0.288186858,8965.79932,0,199.1745651,,,,,,,,,
9,3,0.298355945,,,,,,,,,,,,
9,4,0.541582523,,,,,,,,,,,,
9,5,0.465716465,106139.5918,0.061052604,1221.131915,,,,,,,,,
9,6,0.512864512,,,,,,,,,,,,
9,7,0.465162735,,,,,,,,,,,,
9,8,0.543883009,,,,,,,,,,,,
10,1,0.496834765,,,,,,,,,,,,
10,2,0.528351874,,,,,,,,,,,,
10,4,0.375039591,30669.01291,0.008666792,1138.839865,,,,,,,,,
10,5,0.331792799,,,,,,,,,,,,
10,6,0.274698815,10149.54028,0,196.9567777,,,,,,,,,
10,7,0.500759553,,,,,,,,,,,,
10,8,0.329317302,,,,,,,,,,,,
10,9,0.284880148,2378.461538,0,93.3493924,,,,,,,,,
11,1,0.447002857,321100,0,2808.847496,,,,,,,,,
11,2,0.351955168,5959.421769,0,162.6798568,,,,,,,,,
11,4,0.303424256,,,,,,,,,,,,
11,5,0.309153656,,,,,,,,,,,,
11,6,0.530032956,,,,,,,,,,,,
11,7,0.372101743,,,,,,,,,,,,
11,8,0.537080279,inf,0,inf,,,,,,,,,
11,9,0.508831542,26812.39796,0.01268247,796.9186059,,,,,,,,,
11,10,0.387444905,7764.475087,0,383.6927078,,,,,,,,,
11,11,0.468464287,,,,,,,,,,,,
12,1,0.324619371,,,,,,,,,,,,
12,2,0.600530652,,,,,,,,,,,,
12,3,0.261127695,,,,,,,,,,,,
12,4,0.566994383,,,,,,,,,,,,
12,5,0.334388037,10260.91351,0.002522386,511.2738622,,,,,,,,,
12,7,0.429678001,95938.63265,0.009037518,1284.762333,,,,,,,,,
12,8,0.405510713,40280.2298,0.025165563,550.4377316,,,,,,,,,
12,9,0.49458927,23990,0,2145.605653,,,,,,,,,
12,10,0.388723514,335864.1237,0,4662.250016,,,,,,,,,
12,11,0.481748585,106966.6667,0,1014.469393,,,,,,,,,
13,1,0.288588366,9717.491401,0.267177209,212.3063699,,,,,,,,,
13,2,0.316189109,53174.79592,0.030505117,636.4116066,,,,,,,,,
13,3,0.346430257,22445.17723,0,313.266932,,,,,,,,,
13,5,0.3504631,,,,,,,,,,,,
13,6,0.521062462,inf,0,inf,,,,,,,,,
13,7,0.595523201,,,,,,,,,,,,
13,8,0.518629795,,,,,,,,,,,,
13,9,0.388298645,6387.854051,0.113460248,111.9688919,,,,,,,,,
13,11,0.345551364,11526.9829,0.023720098,163.9902659,,,,,,,,,
13,12,0.339657375,inf,0,inf,,,,,,,,,
13,13,0.326865939,,,,,,,,,,,,
14,1,0.492690695,,,,,,,,,,,,
14,2,0.250859254,5729.637651,0,67.56907993,,,,,,,,,
14,3,0.454652774,377859.6392,0,4783.319089,,,,,,,,,
14,4,0.323620616,7522.113703,0,135.2235344,,,,,,,,,
