diaAño,mes,diaMes,diaSemana,hora,minuto,visperaFestivo,tMed,tMax,tMin,prec,ocupacion
004,01,04,1,09,00,0,21.4,21.9,20.7,0.0,43.13333333333333
004,01,04,1,09,15,0,21.4,21.9,20.7,0.0,60.2
004,01,04,1,09,30,0,21.4,21.9,20.7,0.0,66.79999999999998
004,01,04,1,09,45,0,21.4,21.9,20.7,0.0,70.80000000000001
004,01,04,1,10,00,0,22.2,22.5,21.8,0.0,74.53333333333335
004,01,04,1,10,15,0,22.2,22.5,21.8,0.0,74.73333333333333
004,01,04,1,10,30,0,22.2,22.5,21.8,0.0,70.79999999999998
004,01,04,1,10,45,0,22.2,22.5,21.8,0.0,70.0
004,01,04,1,11,00,0,22.6,23.0,22.3,0.0,61.666666666666664
004,01,04,1,11,15,0,22.6,23.0,22.3,0.0,65.86666666666666
004,01,04,1,11,30,0,22.6,23.0,22.3,0.0,73.13333333333333
004,01,04,1,11,45,0,22.6,23.0,22.3,0.0,72.93333333333334
004,01,04,1,12,00,0,22.8,23.1,22.6,0.0,76.0
004,01,04,1,12,15,0,22.8,23.1,22.6,0.0,77.33333333333333
004,01,04,1,12,30,0,22.8,23.1,22.6,0.0,73.73333333333332
004,01,04,1,12,45,0,22.8,23.1,22.6,0.0,69.6
004,01,04,1,13,00,0,23.2,23.4,23.0,0.0,65.8
004,01,04,1,13,15,0,23.2,23.4,23.0,0.0,62.733333333333334
004,01,04,1,13,30,0,23.2,23.4,23.0,0.0,50.599999999999994
004,01,04,1,13,45,0,23.2,23.4,23.0,0.0,36.800000000000004
004,01,04,1,16,30,0,24.0,24.2,23.7,0.0,38.53333333333333
004,01,04,1,16,45,0,24.0,24.2,23.7,0.0,43.93333333333333
004,01,04,1,17,00,0,23.3,23.8,22.4,0.0,52.0
004,01,04,1,17,15,0,23.3,23.8,22.4,0.0,59.599999999999994
004,01,04,1,17,30,0,23.3,23.8,22.4,0.0,61.73333333333333
004,01,04,1,17,45,0,23.3,23.8,22.4,0.0,64.2
004,01,04,1,18,00,0,21.9,22.5,21.2,0.0,69.60000000000001
004,01,04,1,18,15,0,21.9,22.5,21.2,0.0,68.0
004,01,04,1,18,30,0,21.9,22.5,21.2,0.0,63.46666666666667
004,01,04,1,18,45,0,21.9,22.5,21.2,0.0,57.93333333333333
004,01,04,1,19,00,0,21.0,21.2,20.7,0.0,60.666666666666664
004,01,04,1,19,15,0,21.0,21.2,20.7,0.0,61.86666666666666
004,01,04,1,19,30,0,21.0,21.2,20.7,0.0,62.53333333333333
004,01,04,1,19,45,0,21.0,21.2,20.7,0.0,54.39999999999999
005,01,05,2,09,00,0,13.5,13.9,13.2,0.0,81.46666666666667
005,01,05,2,09,15,0,13.5,13.9,13.2,0.0,95.73333333333332
005,01,05,2,09,30,0,13.5,13.9,13.2,0.0,101.66666666666667
005,01,05,2,09,45,0,13.5,13.9,13.2,0.0,110.8
005,01,05,2,10,00,0,14.8,15.9,13.8,0.0,109.93333333333334
005,01,05,2,10,15,0,14.8,15.9,13.8,0.0,106.46666666666667
005,01,05,2,10,30,0,14.8,15.9,13.8,0.0,110.06666666666668
005,01,05,2,10,45,0,14.8,15.9,13.8,0.0,109.60000000000002
005,01,05,2,11,00,0,16.8,17.4,15.3,0.0,99.33333333333334
005,01,05,2,11,15,0,16.8,17.4,15.3,0.0,90.39999999999999
005,01,05,2,11,30,0,16.8,17.4,15.3,0.0,93.26666666666668
005,01,05,2,11,45,0,16.8,17.4,15.3,0.0,97.4
005,01,05,2,12,00,0,17.4,18.1,17.0,0.0,96.86666666666667
005,01,05,2,12,15,0,17.4,18.1,17.0,0.0,99.53333333333333
005,01,05,2,12,30,0,17.4,18.1,17.0,0.0,91.46666666666665
005,01,05,2,12,45,0,17.4,18.1,17.0,0.0,89.19999999999999
005,01,05,2,13,00,0,18.4,19.0,17.6,0.0,88.26666666666665
005,01,05,2,13,15,0,18.4,19.0,17.6,0.0,83.06666666666666
005,01,05,2,13,30,0,18.4,19.0,17.6,0.0,67.00000000000001
005,01,05,2,13,45,0,18.4,19.0,17.6,0.0,63.06666666666666
005,01,05,2,16,30,0,17.1,17.9,16.5,0.0,79.2
005,01,05,2,16,45,0,17.1,17.9,16.5,0.0,72.4
005,01,05,2,17,00,0,15.8,16.5,15.0,0.0,69.53333333333333
005,01,05,2,17,15,0,15.8,16.5,15.0,0.0,65.6
005,01,05,2,17,30,0,15.8,16.5,15.0,0.0,58.4
005,01,05,2,17,45,0,15.8,16.5,15.0,0.0,66.86666666666666
005,01,05,2,18,00,0,14.5,15.1,13.8,0.0,78.8
005,01,05,2,18,15,0,14.5,15.1,13.8,0.0,93.46666666666668
005,01,05,2,18,30,0,14.5,15.1,13.8,0.0,104.86666666666665
005,01,05,2,18,45,0,14.5,15.1,13.8,0.0,109.39999999999999
005,01,05,2,19,00,0,13.5,13.9,12.9,0.0,99.4
005,01,05,2,19,15,0,13.5,13.9,12.9,0.0,92.2
005,01,05,2,19,30,0,13.5,13.9,12.9,0.0,82.66666666666667
005,01,05,2,19,45,0,13.5,13.9,12.9,0.0,59.86666666666667
007,01,07,4,09,00,1,15.6,16.3,14.3,0.0,100.99999999999999
007,01,07,4,09,15,1,15.6,16.3,14.3,0.0,118.46666666666665
007,01,07,4,09,30,1,15.6,16.3,14.3,0.0,131.73333333333332
007,01,07,4,09,45,1,15.6,16.3,14.3,0.0,126.4
007,01,07,4,10,00,1,18.8,19.9,16.2,0.0,120.0
007,01,07,4,10,15,1,18.8,19.9,16.2,0.0,121.0
007,01,07,4,10,30,1,18.8,19.9,16.2,0.0,107.53333333333333
007,01,07,4,10,45,1,18.8,19.9,16.2,0.0,116.13333333333333
007,01,07,4,11,00,1,19.3,20.3,18.4,0.0,111.26666666666665
007,01,07,4,11,15,1,19.3,20.3,18.4,0.0,102.73333333333333
007,01,07,4,11,30,1,19.3,20.3,18.4,0.0,99.4
007,01,07,4,11,45,1,19.3,20.3,18.4,0.0,93.93333333333332
007,01,07,4,12,00,1,20.5,21.5,19.7,0.0,81.13333333333331
007,01,07,4,12,15,1,20.5,21.5,19.7,0.0,82.13333333333333
007,01,07,4,12,30,1,20.5,21.5,19.7,0.0,95.60000000000001
007,01,07,4,12,45,1,20.5,21.5,19.7,0.0,90.60000000000001
007,01,07,4,13,00,1,21.8,22.4,21.2,0.0,88.13333333333334
007,01,07,4,13,15,1,21.8,22.4,21.2,0.0,85.6
007,01,07,4,13,30,1,21.8,22.4,21.2,0.0,79.73333333333332
007,01,07,4,13,45,1,21.8,22.4,21.2,0.0,62.06666666666666
007,01,07,4,16,30,1,23.6,24.2,22.7,0.0,80.06666666666668
007,01,07,4,16,45,1,23.6,24.2,22.7,0.0,77.66666666666666
007,01,07,4,17,00,1,19.4,22.7,17.3,0.0,71.39999999999998
007,01,07,4,17,15,1,19.4,22.7,17.3,0.0,70.06666666666666
007,01,07,4,17,30,1,19.4,22.7,17.3,0.0,65.73333333333332
007,01,07,4,17,45,1,19.4,22.7,17.3,0.0,65.19999999999999
007,01,07,4,18,00,1,17.1,17.6,15.9,0.0,61.4
007,01,07,4,18,15,1,17.1,17.6,15.9,0.0,66.66666666666667
007,01,07,4,18,30,1,17.1,17.6,15.9,0.0,67.73333333333333
007,01,07,4,18,45,1,17.1,17.6,15.9,0.0,70.86666666666666
007,01,07,4,19,00,1,15.4,16.2,14.3,0.0,74.33333333333333
007,01,07,4,19,15,1,15.4,16.2,14.3,0.0,74.66666666666666
007,01,07,4,19,30,1,15.4,16.2,14.3,0.0,71.19999999999999
007,01,07,4,19,45,1,15.4,16.2,14.3,0.0,56.39999999999999
008,01,08,5,09,00,0,10.1,12.5,8.1,0.0,71.46666666666665
008,01,08,5,09,15,0,10.1,12.5,8.1,0.0,93.33333333333334
008,01,08,5,09,30,0,10.1,12.5,8.1,0.0,106.66666666666669
008,01,08,5,09,45,0,10.1,12.5,8.1,0.0,108.80000000000001
008,01,08,5,10,00,0,14.5,16.4,12.5,0.0,107.53333333333333
008,01,08,5,10,15,0,14.5,16.4,12.5,0.0,104.4
008,01,08,5,10,30,0,14.5,16.4,12.5,0.0,101.33333333333333
008,01,08,5,10,45,0,14.5,16.4,12.5,0.0,109.39999999999999
008,01,08,5,11,00,0,16.9,18.2,16.4,0.0,105.13333333333334
008,01,08,5,11,15,0,16.9,18.2,16.4,0.0,103.60000000000002
008,01,08,5,11,30,0,16.9,18.2,16.4,0.0,108.93333333333334
008,01,08,5,11,45,0,16.9,18.2,16.4,0.0,105.20000000000002
008,01,08,5,12,00,0,18.7,19.7,17.9,0.0,107.86666666666667
008,01,08,5,12,15,0,18.7,19.7,17.9,0.0,101.66666666666664
008,01,08,5,12,30,0,18.7,19.7,17.9,0.0,98.20000000000002
008,01,08,5,12,45,0,18.7,19.7,17.9,0.0,96.79999999999998
008,01,08,5,13,00,0,20.7,22.4,19.6,0.0,87.6
008,01,08,5,13,15,0,20.7,22.4,19.6,0.0,77.26666666666667
