diaAño,mes,diaMes,diaSemana,hora,minuto,visperaFestivo,tMed,tMax,tMin,prec,ocupacion
004,01,04,1,09,00,0,21.4,21.9,20.7,0.0,47.666666666666664
004,01,04,1,09,15,0,21.4,21.9,20.7,0.0,71.19999999999999
004,01,04,1,09,30,0,21.4,21.9,20.7,0.0,89.66666666666666
004,01,04,1,09,45,0,21.4,21.9,20.7,0.0,103.53333333333333
004,01,04,1,10,00,0,22.2,22.5,21.8,0.0,112.13333333333333
004,01,04,1,10,15,0,22.2,22.5,21.8,0.0,109.73333333333332
004,01,04,1,10,30,0,22.2,22.5,21.8,0.0,109.6
004,01,04,1,10,45,0,22.2,22.5,21.8,0.0,107.0
004,01,04,1,11,00,0,22.6,23.0,22.3,0.0,103.93333333333334
004,01,04,1,11,15,0,22.6,23.0,22.3,0.0,113.33333333333333
004,01,04,1,11,30,0,22.6,23.0,22.3,0.0,102.99999999999999
004,01,04,1,11,45,0,22.6,23.0,22.3,0.0,106.93333333333331
004,01,04,1,12,00,0,22.8,23.1,22.6,0.0,102.93333333333332
004,01,04,1,12,15,0,22.8,23.1,22.6,0.0,98.06666666666666
004,01,04,1,12,30,0,22.8,23.1,22.6,0.0,94.93333333333335
004,01,04,1,12,45,0,22.8,23.1,22.6,0.0,93.93333333333332
004,01,04,1,13,00,0,23.2,23.4,23.0,0.0,88.8
004,01,04,1,13,15,0,23.2,23.4,23.0,0.0,77.26666666666667
004,01,04,1,13,30,0,23.2,23.4,23.0,0.0,75.66666666666667
004,01,04,1,13,45,0,23.2,23.4,23.0,0.0,65.66666666666667
004,01,04,1,16,30,0,24.0,24.2,23.7,0.0,123.93333333333332
004,01,04,1,16,45,0,24.0,24.2,23.7,0.0,123.80000000000001
004,01,04,1,17,00,0,23.3,23.8,22.4,0.0,118.53333333333333
004,01,04,1,17,15,0,23.3,23.8,22.4,0.0,117.53333333333333
004,01,04,1,17,30,0,23.3,23.8,22.4,0.0,114.46666666666664
004,01,04,1,17,45,0,23.3,23.8,22.4,0.0,116.4
004,01,04,1,18,00,0,21.9,22.5,21.2,0.0,108.39999999999999
004,01,04,1,18,15,0,21.9,22.5,21.2,0.0,111.26666666666667
004,01,04,1,18,30,0,21.9,22.5,21.2,0.0,111.2
004,01,04,1,18,45,0,21.9,22.5,21.2,0.0,103.86666666666665
004,01,04,1,19,00,0,21.0,21.2,20.7,0.0,101.19999999999999
004,01,04,1,19,15,0,21.0,21.2,20.7,0.0,95.0
004,01,04,1,19,30,0,21.0,21.2,20.7,0.0,84.93333333333334
004,01,04,1,19,45,0,21.0,21.2,20.7,0.0,63.46666666666667
005,01,05,2,09,00,0,13.5,13.9,13.2,0.0,73.60000000000001
005,01,05,2,09,15,0,13.5,13.9,13.2,0.0,87.66666666666666
005,01,05,2,09,30,0,13.5,13.9,13.2,0.0,89.86666666666667
005,01,05,2,09,45,0,13.5,13.9,13.2,0.0,93.4
005,01,05,2,10,00,0,14.8,15.9,13.8,0.0,108.39999999999999
005,01,05,2,10,15,0,14.8,15.9,13.8,0.0,109.80000000000001
005,01,05,2,10,30,0,14.8,15.9,13.8,0.0,106.66666666666667
005,01,05,2,10,45,0,14.8,15.9,13.8,0.0,99.86666666666666
005,01,05,2,11,00,0,16.8,17.4,15.3,0.0,107.86666666666667
005,01,05,2,11,15,0,16.8,17.4,15.3,0.0,102.73333333333335
005,01,05,2,11,30,0,16.8,17.4,15.3,0.0,96.46666666666667
005,01,05,2,11,45,0,16.8,17.4,15.3,0.0,98.33333333333331
005,01,05,2,12,00,0,17.4,18.1,17.0,0.0,93.66666666666667
005,01,05,2,12,15,0,17.4,18.1,17.0,0.0,91.26666666666668
005,01,05,2,12,30,0,17.4,18.1,17.0,0.0,82.6
005,01,05,2,12,45,0,17.4,18.1,17.0,0.0,85.93333333333334
005,01,05,2,13,00,0,18.4,19.0,17.6,0.0,82.66666666666666
005,01,05,2,13,15,0,18.4,19.0,17.6,0.0,73.46666666666668
005,01,05,2,13,30,0,18.4,19.0,17.6,0.0,73.46666666666665
005,01,05,2,13,45,0,18.4,19.0,17.6,0.0,64.33333333333333
005,01,05,2,16,30,0,17.1,17.9,16.5,0.0,113.26666666666667
005,01,05,2,16,45,0,17.1,17.9,16.5,0.0,110.46666666666665
005,01,05,2,17,00,0,15.8,16.5,15.0,0.0,108.33333333333334
005,01,05,2,17,15,0,15.8,16.5,15.0,0.0,107.59999999999998
005,01,05,2,17,30,0,15.8,16.5,15.0,0.0,106.59999999999998
005,01,05,2,17,45,0,15.8,16.5,15.0,0.0,106.33333333333334
005,01,05,2,18,00,0,14.5,15.1,13.8,0.0,100.13333333333334
005,01,05,2,18,15,0,14.5,15.1,13.8,0.0,98.53333333333333
005,01,05,2,18,30,0,14.5,15.1,13.8,0.0,88.6
005,01,05,2,18,45,0,14.5,15.1,13.8,0.0,86.26666666666667
005,01,05,2,19,00,0,13.5,13.9,12.9,0.0,78.2
005,01,05,2,19,15,0,13.5,13.9,12.9,0.0,69.2
005,01,05,2,19,30,0,13.5,13.9,12.9,0.0,65.0
005,01,05,2,19,45,0,13.5,13.9,12.9,0.0,46.0
007,01,07,4,09,00,1,15.6,16.3,14.3,0.0,76.7333333333333
007,01,07,4,09,15,1,15.6,16.3,14.3,0.0,103.0
007,01,07,4,09,30,1,15.6,16.3,14.3,0.0,115.73333333333333
007,01,07,4,09,45,1,15.6,16.3,14.3,0.0,121.06666666666668
007,01,07,4,10,00,1,18.8,19.9,16.2,0.0,109.06666666666665
007,01,07,4,10,15,1,18.8,19.9,16.2,0.0,103.99999999999999
007,01,07,4,10,30,1,18.8,19.9,16.2,0.0,92.6
007,01,07,4,10,45,1,18.8,19.9,16.2,0.0,95.2
007,01,07,4,11,00,1,19.3,20.3,18.4,0.0,100.99999999999999
007,01,07,4,11,15,1,19.3,20.3,18.4,0.0,107.13333333333333
007,01,07,4,11,30,1,19.3,20.3,18.4,0.0,106.19999999999999
007,01,07,4,11,45,1,19.3,20.3,18.4,0.0,101.8
007,01,07,4,12,00,1,20.5,21.5,19.7,0.0,95.59999999999998
007,01,07,4,12,15,1,20.5,21.5,19.7,0.0,102.4
007,01,07,4,12,30,1,20.5,21.5,19.7,0.0,96.8
007,01,07,4,12,45,1,20.5,21.5,19.7,0.0,94.0
007,01,07,4,13,00,1,21.8,22.4,21.2,0.0,93.13333333333333
007,01,07,4,13,15,1,21.8,22.4,21.2,0.0,90.19999999999999
007,01,07,4,13,30,1,21.8,22.4,21.2,0.0,74.73333333333333
007,01,07,4,13,45,1,21.8,22.4,21.2,0.0,54.2
007,01,07,4,16,30,1,23.6,24.2,22.7,0.0,115.06666666666668
007,01,07,4,16,45,1,23.6,24.2,22.7,0.0,112.66666666666667
007,01,07,4,17,00,1,19.4,22.7,17.3,0.0,114.33333333333334
007,01,07,4,17,15,1,19.4,22.7,17.3,0.0,115.46666666666667
007,01,07,4,17,30,1,19.4,22.7,17.3,0.0,106.33333333333331
007,01,07,4,17,45,1,19.4,22.7,17.3,0.0,104.86666666666666
007,01,07,4,18,00,1,17.1,17.6,15.9,0.0,96.4
007,01,07,4,18,15,1,17.1,17.6,15.9,0.0,96.46666666666667
007,01,07,4,18,30,1,17.1,17.6,15.9,0.0,94.66666666666666
007,01,07,4,18,45,1,17.1,17.6,15.9,0.0,86.2
007,01,07,4,19,00,1,15.4,16.2,14.3,0.0,80.33333333333331
007,01,07,4,19,15,1,15.4,16.2,14.3,0.0,77.06666666666665
007,01,07,4,19,30,1,15.4,16.2,14.3,0.0,77.13333333333334
007,01,07,4,19,45,1,15.4,16.2,14.3,0.0,59.53333333333334
008,01,08,5,09,00,0,10.1,12.5,8.1,0.0,73.60000000000001
008,01,08,5,09,15,0,10.1,12.5,8.1,0.0,92.19999999999999
008,01,08,5,09,30,0,10.1,12.5,8.1,0.0,106.19999999999999
008,01,08,5,09,45,0,10.1,12.5,8.1,0.0,112.73333333333335
008,01,08,5,10,00,0,14.5,16.4,12.5,0.0,107.39999999999999
