"energy";"time";"date";"hour";"stMU62_IMI_tmed";"season";"month";"day";"dow";"holiday"
39.2213576371;2016-01-26;"2016-01-26 00:00:00";0;9.5;4;1;26;3;0
41.7705192428;2016-01-26;"2016-01-26 01:00:00";1;9.1;4;1;26;3;0
42.093622031;2016-01-26;"2016-01-26 02:00:00";2;8.6;4;1;26;3;0
41.2027806437;2016-01-26;"2016-01-26 03:00:00";3;8.8;4;1;26;3;0
41.7140497633;2016-01-26;"2016-01-26 04:00:00";4;9.4;4;1;26;3;0
43.6335248415;2016-01-26;"2016-01-26 05:00:00";5;10.2;4;1;26;3;0
46.2840210593;2016-01-26;"2016-01-26 06:00:00";6;10.2;4;1;26;3;0
70.7265565774;2016-01-26;"2016-01-26 07:00:00";7;10.9;4;1;26;3;0
132.764402529;2016-01-26;"2016-01-26 08:00:00";8;10.9;4;1;26;3;0
193.141888862;2016-01-26;"2016-01-26 09:00:00";9;11.5;4;1;26;3;0
229.553430464;2016-01-26;"2016-01-26 10:00:00";10;12.1;4;1;26;3;0
241.249095076;2016-01-26;"2016-01-26 11:00:00";11;13;4;1;26;3;0
237.387304607;2016-01-26;"2016-01-26 12:00:00";12;13.3;4;1;26;3;0
219.233091433;2016-01-26;"2016-01-26 13:00:00";13;13.8;4;1;26;3;0
162.307023299;2016-01-26;"2016-01-26 14:00:00";14;14.3;4;1;26;3;0
143.71580516;2016-01-26;"2016-01-26 15:00:00";15;14.6;4;1;26;3;0
151.950282734;2016-01-26;"2016-01-26 16:00:00";16;15.2;4;1;26;3;0
151.210521864;2016-01-26;"2016-01-26 17:00:00";17;14.9;4;1;26;3;0
134.113185425;2016-01-26;"2016-01-26 18:00:00";18;14.2;4;1;26;3;0
101.62483554;2016-01-26;"2016-01-26 19:00:00";19;13.6;4;1;26;3;0
66.554234002;2016-01-26;"2016-01-26 20:00:00";20;13.1;4;1;26;3;0
45.3131916604;2016-01-26;"2016-01-26 21:00:00";21;12;4;1;26;3;0
43.3927016104;2016-01-26;"2016-01-26 22:00:00";22;11.5;4;1;26;3;0
44.1334528926;2016-01-26;"2016-01-26 23:00:00";23;11.8;4;1;26;3;0
43.9123631727;2016-01-27;"2016-01-27 00:00:00";0;12.1;4;1;27;4;0
41.5001541827;2016-01-27;"2016-01-27 01:00:00";1;11.9;4;1;27;4;0
41.9015652893;2016-01-27;"2016-01-27 02:00:00";2;11.9;4;1;27;4;0
42.1264546952;2016-01-27;"2016-01-27 03:00:00";3;11.6;4;1;27;4;0
43.3945801306;2016-01-27;"2016-01-27 04:00:00";4;11.3;4;1;27;4;0
44.9701542289;2016-01-27;"2016-01-27 05:00:00";5;11.4;4;1;27;4;0
46.8573225732;2016-01-27;"2016-01-27 06:00:00";6;11.9;4;1;27;4;0
72.0687279728;2016-01-27;"2016-01-27 07:00:00";7;11.2;4;1;27;4;0
128.245652961;2016-01-27;"2016-01-27 08:00:00";8;11.5;4;1;27;4;0
214.698396475;2016-01-27;"2016-01-27 09:00:00";9;12.3;4;1;27;4;0
267.767471761;2016-01-27;"2016-01-27 10:00:00";10;13.2;4;1;27;4;0
273.036201407;2016-01-27;"2016-01-27 11:00:00";11;13.6;4;1;27;4;0
220.786696736;2016-01-27;"2016-01-27 12:00:00";12;14.2;4;1;27;4;0
191.90586755;2016-01-27;"2016-01-27 13:00:00";13;14.2;4;1;27;4;0
141.634545057;2016-01-27;"2016-01-27 14:00:00";14;14.8;4;1;27;4;0
139.213233088;2016-01-27;"2016-01-27 15:00:00";15;14.7;4;1;27;4;0
168.364434638;2016-01-27;"2016-01-27 16:00:00";16;13.8;4;1;27;4;0
178.105755743;2016-01-27;"2016-01-27 17:00:00";17;13.5;4;1;27;4;0
141.358698372;2016-01-27;"2016-01-27 18:00:00";18;13;4;1;27;4;0
105.581757107;2016-01-27;"2016-01-27 19:00:00";19;11.9;4;1;27;4;0
76.2317293729;2016-01-27;"2016-01-27 20:00:00";20;12.3;4;1;27;4;0
52.641770132;2016-01-27;"2016-01-27 21:00:00";21;11.5;4;1;27;4;0
49.9209762023;2016-01-27;"2016-01-27 22:00:00";22;10.2;4;1;27;4;0
